CONTENT_ID,CONTENT,CONTENT_TYPE_ID
802,"  <div>Bebe er ikke lenger den einaste</div>  <div>som veit om løyndomen til Sara.</div>  <div>Dei på ferie saman og</div>  <div>snakkar saman igjen.</div>  <div><br />  </div>  <div>Den fjerde boka om Bebe <br />  er spennande, lita og luftig.<br />  </div>  <div>&#160;</div>  <div><strong>Bente Bratlund</strong> (født i 1952) er forfattar</div>  <div>og har gitt ut ei rekke bøker </div>  <div>for barn, ungdom og vaksne. </div>  ",841
803,"  <div>Denne boka handler om </div>  <div>kroppen. Vi får se </div>  <div>kroppen fra barn til voksen. </div>  <div>Vær med å gjette hvor det er lov </div>  <div>å være naken og hvor det er lov </div>  <div>å tisse. Er det mulig å ha hår </div>  <div>på tennene? </div>  <div>&#160;</div>  <div>Boka har lite tekst. </div>  <div>Den er morsom og lærerik. </div>  <div>Illustrasjonene er fargerike</div>  <div>og forteller sin egen historie. </div>  <div>&#160;</div>  <div><strong>Anna Fiske</strong> er tegner og forfatter.</div>  <div>Hun har gitt ut flere bøker med enkelt innhold, </div>  <div>blant annet <strong>Følelsesbiblioteket</strong></div>  <div>og den morsomme boka <strong>Hæ?</strong> </div>  <div>&#160;</div>  ",842
804,"  <div>Boka viser hvordan du lager mat </div>  <div>trinn for trinn med bilder og symboler. </div>  <div>Den er inspirerende og flott. </div>  <div>&#160;</div>  <div>Du trenger ikke å kunne lese </div>  <div>for å ha glede av denne boka. </div>  <div>Det er fotografier av alt du trenger. </div>  <div>Boka passer for alle som </div>  <div>vil lage god mat selv. </div>  <div>&#160;</div>  <div><strong>Så godt! med symboler og bilder</strong> &#160;</div>  <div>er en enda enklere utgave av </div>  <div><strong>Så godt! lettlest kokebok.</strong> </div>  <div>Boka er tilrettelagt av Lene Hansen </div>  <div>og Heidi Trolldalen.</div>  <div>&#160;</div>  <div><strong>Lene Hansen og Heidi Trolldalen&#160;</strong></div>  <div>har tretti års &#160;teoretisk og praktisk&#160;</div>  <div>erfaring i å tilrettelegge. </div>  <div>De jobber med kommunikasjon&#160;</div>  <div>for mennesker med ulike utfordringer</div>  <div>i forhold til å forstå, oppfatte&#160;</div>  <div>og formidle innhold i en tekst. &#160;</div>  <div>&#160;</div>  <div>&#160;</div>  ",843
805,"  <div>  Hva inneholder egentlig maten vi spiser? </div>  <div>Og hva gjør den for  oss? </div>  <div>Hvilke typer mat bør vi unngå </div>  <div>og hvilke bør vi spise for å unngå farlig  magefett? </div>  <div>Hvorfor er magefett så farlig?&#160;</div>  <div>Alle disse spørsmålene får du svar på i denne boka. </div>  <div>Den er  full av informasjon, </div>  <div>men samtidig er det mange bilder og enkle oppskrifter. </div>  <div>I  tillegg finner du sitater i uthevet skrift </div>  <div>og faktabokser som oppsummerer en  del av informasjonen. </div>  <p>&#160;</p>  <div>Det er en del fremmedord og faguttrykk i boka, </div>  <div>men disse er  stort sett greit forklart.</div>  <div>Boka må ikke leses fra A-Å, </div>  <div>den kan fint brukes som et  oppslagsverk </div>  <div>om et sunt kosthold.</div>  <p>&#160;</p>  <div>Berit Nordstrand er lege og forfatter, </div>  <div>og har tidligere  skrevet bøkene <strong>Mat med mer</strong> (2012) </div>  <div>og <strong>Mat til sinns </strong>(2013)</div>  ",844
806,"  <div>  Toppen Bech presenterer med denne boka sitt eget  mormor-univers. </div>  <div>Hun forteller om sin egen barndom </div>  <div>og om sitt liv som mormor i  tidsklemma. </div>  <div>I tillegg får vi et lite innblikk i arven av historier som besteforeldre bærer på. </div>  <div>Boka er en personlig fortelling om opplevelser hun har hatt  </div>  <div>og ønsker å ha sammen med sine barnebarn. </div>  <p>&#160;</p>  <div>Mormors guide til gode  barnebøker, Mormors guide til kule  museer i Oslo </div>  <div>og Bestemors ordbok,  er blant annet morsomme innslag. </div>  <div>De er basert på Toppen Bechs egne erfaringer i møte  med sine barnebarn.</div>  <p>&#160;</p>  <div>Boka er delt inn i oversiktlige kapitler, og kan leses på kryss og tvers. </div>  <div>Den har mange bilder og barnetegninger. </div>  <div>Du finner også dikt,  regler, sanger, oppskrifter,</div>  <div>morsomme fakta og ritualer.</div>  <p>&#160;</p>  <div><strong>Toppen Bech </strong>er journalist, forfatter og foredragsholder, </div>  <div>og  var programleder for tv-serien<strong> Herskapelig</strong>. </div>  <div>Hun har tidligere gitt ut bøkene <em><strong>Skikk og bruk i en ny tid </strong></em>(2010) </div>  <div>og <strong>Herskapelige Norge</strong> (2006).</div>  <p>&#160;</p>  <p>&#160;</p>  ",845
807,"  <div>  Boka handler om Live </div>  <div>og hennes flukt fra virkeligheten.</div>  <div>Virkeligheten hjemme kveler henne. </div>  <div>Etter at søsteren Monica havnet i </div>  <div>en alvorlig bilulykke to år tidligere, </div>  <div>har ingenting vært som før. </div>  <div>Moren er  blitt en skygge av seg selv, </div>  <div>faren gjør så godt han kan. </div>  <div>Men hva kan gjøres,  </div>  <div>når det ikke er noen ting å få gjort?</div>  <p>&#160;</p>  <div>Live møter Robert på toget. </div>  <div>Han er dykker, akkurat som  henne. </div>  <div>Sammen blir de dratt inn </div>  <div>i et mareritt av løgner, vold og død.</div>  <p>&#160;</p>  <div>Boka har korte kapitler </div>  <div>og ganske stor skrift. </div>  <div>Når  spenningen er på sitt sterkeste, </div>  <div>er boka umulig å legge fra seg.</div>  <div>I boka er det noen fagord om dykking </div>  <div>og noen fremmedord.</div>  <p>&#160;</p>  <div>Caterina Cattaneo (født 1967) </div>  <div>er norsk-italiensk forfatter. </div>  <div>Hun har tidligere gitt ut boka <strong>Dødsreisen</strong>&#160;i 2011.</div>  ",846
808,"  <div>  Dette er boka for den som ønsker å begynne med klatring. </div>  <div>Den  forklarer alt fra hva en karabinkrok og slyngetau er, </div>  <div>til hvordan du best  klatrer opp en vegg eller en fjellknaus. </div>  <div>Både gjennom bilder og tekst ser du de  ulike teknikkene forklart.&#160;</div>  <div>Forfatteren begynner boka med å forklare hva klatring er, </div>  <div>og  fortsetter med å forklare vesentlige klatreutrykk. </div>  <p>&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; </p>  <div>Boka er delt inn i tretten kapitler,og i  innholdsfortegnelsen </div>  <div>ser du hvilke temaer som blir tatt opp i kapitlet. </div>  <div>Hvert kapittel  har sin farge, </div>  <div>noe som gjør det enkelt å skille kapitlene fra hverandre.  &#160;</div>  <div>Helt bakerst finner du også et  lite oppslagsverk </div>  <div>fra A-Å i klatringens verden.</div>  <p>Viktige opplysninger er markert med rød bakgrunn,</p>  <div>tips og  råd er markert med grå.</div>  <p>&#160;</p>  <div><strong>Nils Ragnar Gustavsson</strong> er autorisert instruktør i klatring.</div>  <div>Han holder kurs for andre instruktører og kurs i sikkerhet.</div>  ",847
809,"  <div>  Denne boka gir deg som er trener, instruktør  eller lærer for barn </div>  <div>veiledning og inspirasjon til hvordan barna kan trene motorisk. </div>  <div>Her finner du 34  ulike leker og øvelser som vil gi barna stabilitet, </div>  <div>balanse, koordinasjon og kontroll over kroppen.</div>  <p>&#160;</p>  <div>Boka er delt opp i to deler.</div>  <div> Første del beskriver hvilke faktorer du bør kjenne til </div>  <div>om du vil utvikle deg som trener. </div>  <div>Andre del består av de 34 motoriske øvelsene, </div>  <div>forklart med bilder og tekst.</div>  <p>&#160;</p>  <div>Med boka følger en DVD som viser øvelsene  ”live”, </div>  <div>samtidig som de blir forklart (på svensk).</div>  <p>&#160;</p>  <div>Johanne Elphinston er fysioterapeut, foreleser og forfatter.</div>  <div>Hun har trent  idrettsutøvere fra barn til elitenivå.</div>  <p>&#160;</p>  ",848
810,"  <div>  Champions League er verdens største turnering for klubblag.  </div>  <div>I denne boka kan du blant annet lese resultater, kampoppsett</div>  <div>og portretter  av de største stjernene. </div>  <div>Du kan også lese om hvordan Rosenborg vant over AC  Milan i 1996.</div>  <div>Dermed ble de det første (og foreløpig eneste) norske laget </div>  <div>som er kommet til en kvartfinale i Champions League. </div>  <div>I tillegg kan du teste deg selv i  en morsom Champions League-quiz.</div>  <p>&#160;</p>  <p>Boka har et kortfattet, muntlig språk og mange bilder. </p>  <p>&#160;</p>  <p>Forfatteren <strong>Steffen Gronemann</strong> har tidligere skrevet blant annet&#160;</p>  <p><strong>Alt om EMs største stjerner</strong> (2012)</p>  <div><strong>Alt om FC Barcelona</strong> (2012)</div>  <div>  <div><strong><em>Alt om Manchester United </em></strong>(2012)</div>  <div>&#160;</div>&#160;</div>  ",849
811,"  <div>  I denne boka kan du lese skogens historie. </div>  <div>Det er fortalt i  et muntlig språk, med filosofiske og poetiske betraktninger. </div>  <p>&#160;</p>  <div>Haakon Bull-Hansen arvet en skog i 2001. </div>  <div>Han har ofte brukt  skogen, både som barn, ungdom og voksen. </div>  <div>Som barn ble han opplært i skogens  yrende liv av sin bestefar. </div>  <div>Som ungdom møtte han naturens sterke krefter. </div>  <div>Som  voksen ser han de små detaljene </div>  <div>og de store bildene i sammenheng med hverandre.  </div>  <div>I sammenheng med livet selv. </div>  <p>&#160;</p>  <div>Boka er delt inn i femten kapitler. </div>  <div>Hvert kapittel har sin lille historie. </div>  <div>Som tegnene naturen gir fra seg. </div>  <div>Som stiene  vi går på når vi ferdes i marka. </div>  <div>Som redskapen, røttene, tunet, tømmeret,  skiene. </div>  <p>&#160;</p>  <div>Haakon Bull-Hansen er født i 1951 </div>  <div>og har tidligere gitt ut  både skjønnlitteratur og sakprosa.&#160;</div>  ",850
