DOC_ID,param_id,xsl_id,pos,description,width,height,section_id,att_id,object_type_id,object_type,object_id,title,att_descr,att_param_id,NAME,EXTENTION,OBJECT_SIZE,changed,actual_width,actual_height,IMG
841,2,0,10,Dokumentbilde,259,337,2,2047,841,d,7B4D288C86BC4E6887791EDEA3DE988E,BEBE4.jpg,,2,BEBE4.jpg,jpg,36640,2014-05-26 10:21:23.067,259,336,prod_images/doc_841_2.jpg
842,2,0,10,Dokumentbilde,259,337,2,2049,842,d,51BD062E660C43BD9EB996B70323C54E,Fiske_AlleHarEnBakside.jpg,,2,Fiske_AlleHarEnBakside.jpg,jpg,598543,5/26/14 10:34,259,337,prod_images/doc_842_2.jpg
843,2,0,10,Dokumentbilde,259,337,2,2052,843,d,9B3F5A448A374F21924BA0FE4AFCBAB5,så godt forside.jpg,,2,så godt forside.jpg,jpg,47525,6/11/14 14:03,259,337,prod_images/doc_843_2.jpg
844,2,0,10,Dokumentbilde,259,337,2,2055,844,d,7730C507FC544F0E9A6048E885CA7A53,12-uker-til-et-sunnere-liv-og-en-smalere-midje_hd_image.jpg,,2,12-uker-til-et-sunnere-liv-og-en-smalere-midje_hd_image.jpg,jpg,850095,7/17/14 13:00,259,337,prod_images/doc_844_2.jpg
845,2,0,10,Dokumentbilde,259,337,2,2057,845,d,934F9279CD544C20B113BD11B7BE53E7,11.Mormor Farmor STOR.jpg,,2,11.Mormor Farmor STOR.jpg,jpg,1339588,7/17/14 13:14,259,337,prod_images/doc_845_2.jpg
846,2,0,10,Dokumentbilde,259,337,2,2059,846,d,97D862B144484E8B9613E2B76C998285,10.Malstroem_hd_image.jpg,,2,10.Malstroem_hd_image.jpg,jpg,999547,7/17/14 13:24,259,337,prod_images/doc_846_2.jpg
847,2,0,10,Dokumentbilde,259,337,2,2061,847,d,FB8D704EEF514496B8FE16DF32C85A45,9.Klatrehaandboken_hd_image.jpg,,2,9.Klatrehaandboken_hd_image.jpg,jpg,401172,7/17/14 21:00,259,337,prod_images/doc_847_2.jpg
848,2,0,10,Dokumentbilde,259,337,2,2063,848,d,84E50FE9B27E4EA29477823E055E7092,8. Motorisk-trening-OEvelser-for-barn_book_cover_full.jpg,,2,8. Motorisk-trening-OEvelser-for-barn_book_cover_full.jpg,jpg,22208,7/17/14 21:15,258,337,prod_images/doc_848_2.jpg
849,2,0,10,Dokumentbilde,259,337,2,2065,849,d,23FD3DD92DFD4F718842036673D7B14B,7. Alt-om-Champions-League_hd_image.jpg,,2,7. Alt-om-Champions-League_hd_image.jpg,jpg,368154,7/17/14 22:06,259,337,prod_images/doc_849_2.jpg
850,2,0,10,Dokumentbilde,259,337,2,2067,850,d,65313B9E613F40EA982473ECCAA6F60F,6. org_Til skogs_STOR.jpg,,2,6. org_Til skogs_STOR.jpg,jpg,1519452,7/17/14 22:33,259,337,prod_images/doc_850_2.jpg
851,2,0,10,Dokumentbilde,259,337,2,2069,851,d,1D943AE8D60046A8B34C4416FF399B80,5. Si-at-vi-har-hele-dagen_hd_image.jpg,,2,5. Si-at-vi-har-hele-dagen_hd_image.jpg,jpg,289857,7/17/14 22:49,259,337,prod_images/doc_851_2.jpg
852,2,0,10,Dokumentbilde,259,337,2,2071,852,d,654AF4C789834C4C9DDB92F60E557510,1.solberg.jpg,,2,1.solberg.jpg,jpg,3765279,7/31/14 21:55,259,337,prod_images/doc_852_2.jpg
853,2,0,10,Dokumentbilde,259,337,2,2073,853,d,B822037A45D9488280189506DA085D1C,3. Fellesskap fungerer Velferd.png,,2,3. Fellesskap fungerer Velferd.png,png,131176,7/31/14 23:17,259,337,prod_images/doc_853_2.png
854,2,0,10,Dokumentbilde,259,337,2,2075,854,d,9B0E92E9B4EC45CC997D74D6161A247E,2. Fellesskap funker.jpg,,2,2. Fellesskap funker.jpg,jpg,38454,7/31/14 23:29,259,337,prod_images/doc_854_2.jpg
855,2,0,10,Dokumentbilde,259,337,2,2077,855,d,5BEE976044E040E097C0F899D588A3E8,1Beskytteren.jpg,,2,1Beskytteren.jpg,jpg,833539,8/20/14 0:01,259,337,prod_images/doc_855_2.jpg
856,2,0,10,Dokumentbilde,259,337,2,2079,856,d,4780A27F38B14C6BA784664F6394B6FC,Brune_productimage.jpg,,2,Brune_productimage.jpg,jpg,38082,8/22/14 10:12,259,336,prod_images/doc_856_2.jpg
857,2,0,10,Dokumentbilde,259,337,2,2081,857,d,67EAE6D07F3D4255BD0114A5192EA54D,Olene-i-Den-nye-genseren_productimage.jpg,,2,Olene-i-Den-nye-genseren_productimage.jpg,jpg,79038,2014-08-22 10:38:30.050,258,337,prod_images/doc_857_2.jpg
858,2,0,10,Dokumentbilde,259,337,2,2083,858,d,E2588709473448C0A7B466093A472F5D,image_large.jpg,,2,image_large.jpg,jpg,23600,8/22/14 11:10,259,337,prod_images/doc_858_2.jpg
859,2,0,10,Dokumentbilde,259,337,2,2085,859,d,7E5A7B8428FE46A8ACA0022E207E0D85,spisetid.jpg,,2,spisetid.jpg,jpg,9808,8/22/14 11:27,258,337,prod_images/doc_859_2.jpg
860,2,0,10,Dokumentbilde,259,337,2,2087,860,d,E8939C0FBB71416AB670A706EF42C459,Knust.png,,2,Knust.png,png,100940,8/22/14 12:43,258,337,prod_images/doc_860_2.png
861,2,0,10,Dokumentbilde,259,337,2,2089,861,d,1E32280A9E7D41AB958756CE52521873,forelska forever.jpg,,2,forelska forever.jpg,jpg,2528988,8/26/14 14:32,259,337,prod_images/doc_861_2.jpg
862,2,0,10,Dokumentbilde,259,337,2,2094,862,d,9D8BF1B806C0494D833737045E539170,fakirer.bmp,,2,fakirer.bmp,bmp,13268790,8/26/14 15:18,NULL,NULL,prod_images/doc_862_2.bmp
863,2,0,10,Dokumentbilde,259,337,2,2096,863,d,4CA1CAA9636F4C9389D5C3BE31F38E51,HBu4GZM$_2098_Lilja%20Mumier.jpg,,2,HBu4GZM$_2098_Lilja%20Mumier.jpg,jpg,1589230,8/26/14 15:47,259,337,prod_images/doc_863_2.jpg
864,2,0,10,Dokumentbilde,259,337,2,2098,864,d,D00CC3B8F66E402DB558B82A46F9ED9A,9788203256271_Braenne.jpg,,2,9788203256271_Braenne.jpg,jpg,2485777,2014-08-26 16:00:04.047,259,337,prod_images/doc_864_2.jpg
865,2,0,10,Dokumentbilde,259,337,2,2100,865,d,34F8F6DBB58C40599AF53DE1C10450CE,9788203256813_Ylvis.jpg,,2,9788203256813_Ylvis.jpg,jpg,7016037,8/27/14 10:25,259,337,prod_images/doc_865_2.jpg
866,2,0,10,Dokumentbilde,259,337,2,2102,866,d,A4F539294FC947C481B0D25A6BD6D644,9788203255984.jpg,,2,9788203255984.jpg,jpg,4645157,8/27/14 10:40,259,337,prod_images/doc_866_2.jpg
867,2,0,10,Dokumentbilde,259,337,2,2104,867,d,F72330AAE3434EF4A67508C8AD7E4ED2,image_large.jpg,,2,image_large.jpg,jpg,55918,8/27/14 10:57,259,337,prod_images/doc_867_2.jpg
868,2,0,10,Dokumentbilde,259,337,2,2106,868,d,91E77E82D9D2414AB1C0E2ADCE30B9A1,Bross_NattPaSkolen_Klassen min (1).jpg,,2,Bross_NattPaSkolen_Klassen min (1).jpg,jpg,5037610,8/27/14 14:28,259,337,prod_images/doc_868_2.jpg
