DOC_ID,TITLE,INGRESS,CUSTOM_CAT_1,CUSTOM_CAT_2,CUSTOM_CAT_3,CUSTOM_CAT_4,CUSTOM_CAT_5,CUSTOM_AUTHOR,CUSTOM_ILLUSTRATOR,CUSTOM_TRANSLATION,CUSTOM_PUBLISHING_HOUSE,CUSTOM_YEAR,CUSTOM_ISBN,CUSTOM_PAGES,CUSTOM_SUPPORTS_LSB,CUSTOM_BLA_I_BOKA,CUSTOM_BOKKILDEN,CUSTOM_INGRESS,STATUS
841,Bebe 4: Alt kjekt kan skje,Bebe og Sara er på sydentur.  No skal alt snu!,2,,11,23,25,Bente Bratlund,NULL,NULL,Mangschou,2014,9788282380829,53,1,NULL,NULL,"Eg kjenner meg så glad. Så lett.  - Torsten likar deg, seier ho så.  Eg stivnar.  - Det er berre sommarflørt, seier eg.  - Ja, du har Tommy.  - Ja, eg har Tommy.",1
842,Alle har en bakside,Alle har en forside.  Alle har en bakside.,"1,2,3",4,13.11,16,26,Anna Fiske,Anna Fiske,NULL,Cappelen Damm,2014,9788202434977,88,1,http://www.cappelendamm.no/main/Katalog.aspx?artid=9938,NULL,Alle mennesker har en kropp.  Alle kropper er forskjellige.,1
843,Så godt! med symboler og bilder,Dette er en lettlest kokebok   med bilder og symboler. ,"1,2,3",4,13,20,26,Anne Gro Innstrand og Sølvi Linde,Pål Hoff,Lene Hansen og Heidi Trolldalen ,Signo,2014,9788230325407,207,1,NULL,NULL,NULL,1
844,12 uker til et sunnere liv og en slankere midje,Denne boka gir deg en innføring i hvordan du kan endre livsstilen din på 12 uker. ,3,4,13,20,26,Berit Nordstrand,Studio Dreyer Hensley,NULL,Gyldendal,2014,9788205458390,288,NULL,http://issuu.com/gyldendalnorskforlag/docs/12_uker_til_et_sunnere_liv_og_en_sm/11?e=0/7440700,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9641365&rom=MP,"Naturen har virkelig skjønt det - den har plassert all verdens nyttige næringsstoffer, som virker sammen og forsterker hverandre, i én og samme plante. Grønnsaker, frukt og bær bidrar med både antioksidantkraft, fiber, fettsyrer, protein, langsomme karbohydrater og en hærskare nyttige vitaminarbeidere og mineralverktøy.",1
845,Mormor farmor - Håndbok for besteforeldre ,"En bok om lek og alvor, prøving og feiling.",3,4,33.32,23.17,26,Toppen Bech,Eivind Stoud Platou,NULL,Kagge,2013,9788248913719,183,NULL,http://issuu.com/kaggeforlag/docs/01_mormor_farmor/1,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9221762&rom=MP,"Jeg hadde en drøm om å bli supermormor. En verdig formidler av myten om bæssmorfanget. Jeg hadde en drøm om å bli husket for verdens beste boller, for rampete, blodtørstige eventyr og heltekvad, for sprell og sprang og fantastiske reiser og opplevelser i virkeligheten og i fantasien.",1
846,Malstrøm,"En roman fra havets dyp og himmelens høyder,   fra sorgens bunn og gledens topp.   Og om hvor raskt det skifter fra det ene til det andre.",2,,11,"14,18,23",26,Caterina Cattaneo,NULL,NULL,Gyldendal,2014,9788205457447,236,NULL,NULL,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9624356&rom=MP,"Sola kommer inn vinduet over senga, deler veggen i tykke striper. Hun stryker ham over ryggen. Huden hans er myk. Hun stryker til hun kjenner noe hardt under fingertuppene, reiser seg på albuen. Han har et stort arr på høyre side som strekker seg over ryggraden. Det er rødt og ser ikke veldig gammelt ut. ",1
847,Klatrehåndboken,En grunnleggende bok om klatring. ,3.2,4,13,21.22,26,Nils Ragnar Gustavsson,"Nils Ragnar Gustavsson, Martin Karlsson, Panda Ekvall",Ann Høydalsnes,Gyldendal,2013,9788205453241,315,NULL,http://issuu.com/gyldendalnorskforlag/docs/klatrehaandboken?e=1324688/4347404,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9346000&rom=MP,Klatring på topptau er antakelig den formen for klatring som de fleste nybegynnere kommer i kontakt med. Med topptau kan du utfordre deg selv på krevende ruter uten å måtte bekymre deg for å falle. Topptauing er også utmerket for å trene bevegelsesteknikk eller ganske enkelt bare for å ha det gøy i fjellveggen!,1
848,Motorisk trening – øvelser for barn,En introduksjon i motoriske ferdigheter for barn. ,3,4,13,21,26,Joanne Elphinston,Håkan Flank,Språkverkstaden,Akilles,2013,9879186323165,56,NULL,NULL,NULL,"Øvelsene som presenteres, er morsomme og lystbetonte – men hver og en av dem har også et bestemt formål. Det handler om å styrke bestemte deler – ""frø""– som til sammen utgjør grunnlaget for alle framtidige, effektive bevegelsesmønster. Hvis disse ""bevegelsesfrøene"", som stabilitet, balanse og kroppskontroll, plantes tidlig, får ikke barna bare god bevegelighet, men de forberedes også på innlæring av mer idrettspesifikke teknikker.",1
849,Alt om Champions League 2013,"Høydepunkter fra Champions League 2013, og morsomme fakta fra tidligere år.",1.2,4,33,21,26,Steffen Gronemann,"Scanpix, All Over, Getty",Jan Chr. Næss,Gyldendal,2013,9788205444607,77,NULL,NULL,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=8007826&rom=MP,"Da Manchester United møtter Bayern Munchen i 1999 var tre nordmenn involvert, selv om bare to av dem spilte. Ronny Johnsen var med fra start, som erstatning for en skadet Henning Berg, og han spilte hele kampen. Ole Gunnar Solskjær, derimot, fikk bare 13 minutter på banen, men det var mer enn nok til å gjøre ham til den første norske matchvinneren i Champions Leagues historie.  ",1
850,Til skogs,Kjenner du skogen kalle?   Vil du vite mer om hva skogen har betydd og hva den faktisk betyr?,3,4,33.13,17.22,26,Haakon Bull-Hansen,Haakon Bull-Hansen,NULL,Kagge,2013,9788248913443,190,NULL,http://issuu.com/kaggeforlag/docs/01_til_skogs_3be1a99d013508/1,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=8911840&rom=MP,"Skogens historie handler ikke bare om vekstsoner og klimaperioder, teknologi og tømmerpriser, men om menneskenes liv og virksomhet. Sporene etter våre forfedre kan leses i landskapet. Her er funn etter jegerne som vandret opp i dalen etter istiden, og av jernalderens bygdeborger og gravhauger. Her er infrastruktur og spor etter skipsbygging, jernverk, sagbruk, og en senmiddelaldersk havn for eksport av bjelker fra Larvik.",1
