CONTENT_ID,CONTENT,CONTENT_TYPE_ID
2,"  <div>Julie og Sofia er bestevenner. </div>  <div>De liker de samme filmene, </div>  <div>de samme klærne og de samme guttene. </div>  <div>Men en dag Julie ringer, blir Sofia så rar. </div>  <div>Hun svarer ikke på det Julie spør om. </div>  <div>Neste dag på jobben vil ikke Sofia </div>  <div>se på Julie. Julie blir veldig lei seg. </div>  <div>Hva har skjedd? </div>  <div>Når hun kommer hjem fra jobben </div>  <div>går hun rett inn og legger seg i senga. </div>  <div>Der blir hun liggende å tenke ... </div>  <div>&#160;</div>  <div><strong>Julie og Sofia</strong> har store illustrasjoner i farger. </div>  <div>Illustrasjonene viser hva som skjer. </div>  <div>Boka har lite tekst på hver side og er lett å lese. </div>  <div>For de som ikke forstår alt selv, </div>  <div>er dette en fin samtalebok. </div>  <div>&#160;</div>  <div><strong>Johanne Emilie Andersen</strong> </div>  <div>er forfatter og illustratør. </div>  ",27
3,"  <p>Hun gjør som hun pleier;<br />  dusjer, lager middag og går på jobb,<br />  men i tankene er hun helt andre steder.<br />  Hun er sammen med sin store helt,<br />  den berømte fotballspilleren Piggen Skåre. </p>  <div>Gjennom hele boka har drømmene sterke farger,<br />  mens Julies hverdag er laget i sort/hvitt.<br />  Til slutt møter Julie noen <br />  i sitt virkelige liv.</div>  <div>&#160;</div>  <div><strong>Julie er forelsket</strong> er ei voksenbok <br />  med lite tekst, enkelt innhold <br />  og flotte tegninger.</div>  <div>For de som ikke forstår alt selv, </div>  <div>er dette en fin samtalebok. </div>  <div>&#160;</div>  <div>Boka ble prøvd ut i et studieopplegg i regi av NFU. </div>  <div>Den ble godt mottatt blant de kvinnelige leserne, </div>  <div>som fortalte at de ville lese den sammen med kjæresten. </div>  <div><br />  Både teksten og tegningene er laget av <br />  <strong>Johanne Emilie Andersen</strong>, som er illustratør.<br />  Hun har tidligere utgitt barneboka KanLand.</div>  <div>&#160;</div>  <div>Det finnes to andre bøker om Julie. </div>  <div>Den heter<strong> Julie og Sofia</strong> og <strong>Den nye Julie</strong>. </div>  ",28
47,  <div>Boka <strong>Asylsøker</strong> handler om <br />  åtte ulike asylsøkere i Norge. <br />  Noen av dem bor fortsatt på asylmottak <br />  og venter på svar. <br />  Andre har vært i Norge en stund <br />  og har fått seg et nytt liv her. <br />  Alle har de en historie det er verdt <br />  å lytte til. </div>  <div>&#160;</div>  <p><strong>Asylsøker</strong> er en viktig bok om <br />  enkeltmennesker. <br />  Boka har flotte fotografier <br />  av menneskene som forteller.  <br />  Boka er laget i samarbeid med NOAS.</p>  ,29
4,"  <div>I denne boka er det samlet <br />  tegneserier av Bendik Kaltenborn. <br />  I seriene møter vi en rekke voksne menn. <br />  De er sjefer, selgere, fedre og funksjonærer. <br />  Mennene er både tragiske og morsomme <br />  der de  beveger seg rundt i en verden <br />  de ikke forstår. </div>  <div>&#160;</div>  <p><strong>Bendik Kaltenborn</strong> er en norsk serietegner. <br />  Samlingen har et forord av Knut Nærum. </p>  ",30
5,"  <p>Hvordan er barnehagen i Norge? <br />  Hva hvis barnet mitt blir sykt <br />  og må på legevakten?  <br />  Dette er en praktisk og enkel bok <br />  om hvordan barnehage, helsestasjon, <br />  tannlege og legevakt fungerer i Norge. <br />  Hvert kapittel starter med fakta. <br />  Så får vi en historie der vi følger <br />  et barn og en voksen skritt for skritt. <br />  Boka har store fargefotografier <br />  som viser fram hva som skjer.</p>  <p>Dette er en veldig enkel <br />  og praktisk bok som kan brukes <br />  både for å lære om Norge <br />  og for å lære norsk. </p>  ",31
6,"  <p>Min far Falo er en bok <br />  som handler om å vokse opp <br />  i Sør-Iran i 1950-årene. <br />  Gutten i denne boka ser opp til <br />  faren sin. Familien blir påvirket <br />  av det som skjr i byen og i samfunnet rundt. <br />  Det er en ny tid som det ikke alltid er <br />  like enkelt å være i. </p>  <div><br />  Forfatteren <strong>Elyas Poorgholam</strong> er født i 1950 <br />  i havnebyen Bandar-e Mah Shar i Sør-Iran. <br />  Han har drama-pedagogisk utdanning fra Iran, <br />  der han arbeidet som lærer. <br />  1 1990 kom han til Norge. Nå underviser han i Oslo. </div>  <p>Dette er en spennende bok om å vokse opp<br />  i Iran. Språket er litt vanskelig. </p>  ",32
7,"  <p><strong>Vis meg hvordan</strong> er en morsom <br />  og praktisk bok. <br />  Her kan du virkelig lære <br />  alt mulig rart. <br />  Hvordan flette en fransk flette? <br />  Hvordan gjøre det første kysset minneverdig?<br />  Hvordan plante en kjøkkenhage? <br />  Hvordan fange fisk med bare hendene? </p>  <p>Boka har 500 tips delt inn i temaer. <br />  Fonten er ganske liten, <br />  men alt vises også med tegninger <br />  som er enkle å forstå. </p>  ",33
8,"  <div><strong>Velkommen inn!</strong> er en fargerik <br />  og flott bok om hvordan du kan <br />  innrede hjemmet dit. <br />  18 ulike par, enslige og familier <br />  inviterer deg inn i hjemmene sine. <br />  La deg inspirere av de spennende <br />  valgene de har gjort. <br />  <br />  Forfatteren <strong>Nina Stang</strong> er interiørarkitet.  <br />  Hun forteller hva som har blitt gjort <br />  og gir gode råd om hvordan du selv <br />  kan skape drømmehjemmet. </div>  <div><strong><br />  Velkommen inn!</strong> er en glad bok <br />  med store fotografier og mange farger. <br />  Teksten er ganske enkel å lese. </div>  ",34
9,"  <p><strong>Norske blikskudd</strong> er en samling <br />  med norske fotografier fra <br />  1900-tallet og fram til i dag. <br />  Noen bilder er overraskende, <br />  mens andre får deg til å huske. <br />  Sammen forteller bildene en historie <br />  om 100 år i Norge.</p>  <p>Boka har fotografier i sort-hvitt og i farger. <br />  Hvert fotografi har en liten tekst <br />  som forteller når det ble tatt <br />  og hva som skjedde. </p>  ",35
11,"  <div>Dette er en hylende morsom bok <br />  om fluefiske. Den kan leses av alle <br />  - både de som liker å fiske <br />  og de som liker å lese om det å fiske. </div>  <div>&#160;</div>  <div>Boka kan ha en del vanskelige ord, <br />  særlig for dem som ikke kan <br />  noe om fluefiske fra før. <br />  Språket er personlig og muntlig. <br />  Fonten er ganske liten. </div>  ",37
